Id;Phenotype;Def
HP:0025672;Fetal skin edema;A separation of skin in one or more regions of the body or even along the entire length of body wall (to a degree greater than gestational-age related norms) related to pathologically increased fluid accumulation in the subcutaneous tissue. [PMID:23696062]
HP:0025673;Loculated ascites;A type of ascites (peritoneal fluid collection) that is divided into loculi (compartments) by septa (fibrous walls). Ascites fluid can become loculated when confined by adhesions, malignancy or infection. [PMID:14981382, PMID:28567101]
HP:0025674;Meconium pseudocyst;A meconium-containing cyst in the peritoneal space . Meconium pseudocysts form in the presence of meconium peritonitis, which is defined as a sterile peritonitis caused by escape of meconium from the intestinal tract into the general peritoneal cavity during the fetal or perinatal period. When the extruded meconium becomes walled off, it can form a rim-calcified mass representing the meconium pseudocyst. [PMID:19293041]
HP:0025675;Premature closure of the ductus arteriosus;A prenatal partial or complete closure of the ductus arteriosus (i.e., prior to delivery). [PMID:34304616]
HP:0025677;Fetal chylothorax;The presence of chyle (a type of lipid-rich lymph) in the pleural space (the space surrounding the lung) as observed in a fetus. [PMID:10472400, PMID:28351595]
HP:0025678;Fetal hydrothorax;Accumulation of lymphatic fluid in the pleural space. This finding is usually observed by prenatal sonography. Once neonatal feeding is established and the lymphatic fluid contains chyle, transformation to chylothorax may be observed. [PMID:25721226]
HP:0025679;Diskitis;Inflammation of an intervertebral disc or disk space. [PMID:31082091]
HP:0025680;Compound muscle action potential amplitude facilitation;Compound muscle action potential amplitude (CMAP) facilitation denotes an increase in tendon reflexes, strength, or CMAP amplitude after 10 seconds of maximal voluntary contraction. [PMID:25192047]
HP:0025681;Distal clavicular thinning;Abnormally reduced diameter (cross section) of the clavicles that is limited to the distal region. []
HP:0025682;Crouch gait;A gait disturbance that is characterized by excessive ankle dorsiflexion, knee and hip flexion during the stance phase. [ORCID:0000-0002-6670-9157, PMID:26709688, PMID:28279852]
HP:0025684;Decreased amyloid beta 42 peptide CSF concentration;A reduction from the normal concentration of amyloid beta 42 peptide in the cerebrospinal fluid (CSF). [ORCID:0000-0003-2307-1226, PMID:15992827, PMID:31391004]
HP:0025685;Increased amyloid beta 42 peptide CSF concentration;An elevation above the normal concentration of amyloid beta 42 peptide in the cerebrospinal fluid (CSF). [ORCID:0000-0003-2307-1226]
HP:0025687;Increased amyloid beta 40 peptide CSF concentration;An elevation above the normal concentration of amyloid beta 40 peptide in the cerebrospinal fluid (CSF). [ORCID:0000-0003-2307-1226, PMID:19273758]
HP:0025689;Extra-abdominal umbilical vein varix;Focal dilatation of the extra-abdominal portion of the umbilical vein. An extra-abdominal umbilical varix is difficult to diagnose prenatally as it can appear like a cyst on ultrasound prior to birth. [PMID:33099808]
HP:0025690;Fetal intra-abdominal umbilical vein varix;"Fetal intra-abdominal umbilical vein varix (FIUVV) is defined by the focal dilatation of the fetal umbilical vein between its entry in the abdomen and its ending in the portal system. The dilatation can be defined using one of the following criteria: a portion of intra-abdominal umbilical vein that is at least 50% wider than the non-dilated portion; a dilatation of 9 mm or more, or a dilatation greater than 2 SD above the mean value for gestational age. [PMID:24883288, PMID:28876490]"
HP:0025691;Impaired fasting glucose;Impaired fasting glucose (IFG) is indicated by a fasting plasma glucose above normal but below the diabetic range. Levels between 110 mg/dl (6.1 mmol/l) to 125 mg/dl (6.9 mmol/l) are diagnostic of IFG. [ORCID:0000-0001-7505-5418, PMID:17327355, PMID:29763085]
HP:0025692;Atelencephaly;A defect of development of the brain characterized by absence of the telencephalon (embryonic structure from which the mature cerebrum develops). [PMID:26260203]
HP:0025693;Pituitary macroadenoma;A pituitary gland adenoma that is larger than 10mm. [PMID:32119338]
HP:0025694;Pituitary microadenoma;A pituitary adenoma that is less than 10 mm in diameter. [PMID:32119338]
HP:0025695;Mucus plug;Mucus that is abnormally thick in consistency (ie, inspissated) and plugs the airway is known as a mucus plug. Mucus plugs consist of mucins and cells and can partially or completely obstruct one or more airways and cause serious consequences, including atelectasis and recurrent infection. []
HP:0025697;Fibrin casts;A type of airway casts that consist of plasma components and inflammatory cells. [LMU:mgriese]
HP:0025698;Mucin casts;A type of airway casts that consist of impacted mucus. [LMU:mgriese]
HP:0025699;Perisylvian FDG hypermetabolism;18F-fluorodeoxyglucose (FDG) positron emission tomography and computed tomography (FDG-PET/CT) evaluates the glucose metabolism of the brain. FDG uptake is interpreted to represent glycolysis. This term therefore represents an abnormally increased FDG uptake (increased glucose metabolism) in the region of the brain that surrounds the Sylvian fissure. [PMID:33452041]
HP:0025700;Anhydramnios;A complete or near-complete lack of amniotic fluid surrounding a fetus. This finding can be observed sonographically in the third trimesters if the deepest pocket of amniotic fluid is less than or equal to 2 cm. [PMID:34230606]
HP:0025701;Distended jugular lymphatic sacs;The jugular lymphatic sacs (JLS) are a physiological and temporary part of fetal lymphatic development. They are formed from small buds of lymphatic endothelial cells arising from the internal jugular veins. By 14 weeks gestation they have developed into lymphatic nodes which drain into the systemic circulation. Visibility of JLS on ultrasound past 14 weeks of gestation implies distension and this may be associated with raised nuchal translucency. [ORCID:0000-0002-7653-4653, PMID:19248150, PMID:20227670, PMID:23718767]
HP:0025702;Type 1 schizencephaly;A type of Schizencephaly in which there is a trans-mantle column of abnormal grey matter but no evidence of a CSF-containing cleft on MR imaging. [PMID:30027296, PMID:3111205]
HP:0025703;Type 2 schizencephaly;A type of Schizencephaly in which CSF-containing cleft is present with abutting lining lips of abnormal grey matter that are opposed to each other. [PMID:30027296]
HP:0025704;Type 3 schizencephaly;A type of Schizencephaly in which CSF-containing cleft present with non-abutting lining lips of abnormal grey matter. [PMID:30027296]
HP:0025706;Absent fetal nasal bone;The nasal bone is considered absent when it is not visualized on a midsagittal view of the profile. In the second trimester, a true midsagittal view of the fetal profile is obtained and magnified to fill the majority of the image space. The nasal bone appears as an echogenic linear structure below the skin edge. The optimal angle of insonation is 45 degrees to the longitudinal axis of the fetal nasal bone. If the angle of insonation is 0 or 180 degrees, the nasal bone may appear artificially absent. The presence or absence of the nasal bone may be determined at the time of the 11- to 14-week ultrasound examination and used as part of the risk assessment for aneuploidy. [PMID:23324624, PMID:31679594]
HP:0025707;Hypoplastic nasal bone;Length of the nasal bone below a predetermined cut-off as seen on antenatal ultrasound using standard imaging techniques. []
HP:0025711;Convergence-retraction nystagmus;Convergence-retraction nystagmus is an irregular, jerky nystagmus in which both eyeballs rhythmically converge and retract into the orbit, particularly on attempting an upward gaze. [PMID:27169871]
HP:0025712;Spontaneous chorioamniotic separation;Persistence separation of the chorionic and amnionic membranes after the 16th week of gestation (not as a result of a procedure such as amniocentesis). [PMID:27683622]
HP:0025713;Neurite dystrophy;Dystrophic neurites are abnormal neuronal processes characterized microscopically by aberrant sprouting, dystrophic expansion, and accumulation of various cellular organelles and cytoskeletal/signaling proteins. [ORCID:0000-0003-2307-1226, PMID:30899091]
HP:0025714;Cerebral cortical microinfarct;An infarct located on the outer layer of the cerebrum that can only be observed microscopically. Cerebral microinfarcts are typically defined as sharply delimited microscopic regions of cellular death or tissue necrosis, sometimes with cavitation (that is, a central fluid-filled cavity). The term microscopic denotes that these lesions are not visible by gross inspection of the brain but seen by light microscopy. The term infarct is most commonly used for ischemia-related tissue loss, and indeed the pathologic appearance of microinfarcts is consistent with that of known ischemic infarctions. [ORCID:0000-0003-2307-1226, PMID:10867785]
HP:0025716;Fetal anemia;Low hemoglobin/hematocrit in a fetus as evidenced by percutaneous umbilical cord sampling and Doppler ultrasonographic assessment of the peak velocity of systolic blood flow in the middle cerebral artery. [ORCID:0000-0002-8593-2186, PMID:30718211]
HP:0025717;Skeletal muscle autophagosome accumulation;Abnormal accumulation of autophagosomes in skeletal muscle tissue. [PMID:20040311]
HP:0025718;Skeletal muscle hyperechogenicity;An increased echo intensity of muscle tissue on sonography, defined as an increased amount of returning echoes per square area of muscle tissue. On cross-section, normal muscle appears as a relatively anechoic structure with hyperechoic speckles within the tissue representing perimysial septa, giving it a starry night appearance. The boundaries of each muscle are delineated by the presence of hyperechoic fascia. In muscle disorders, one of the hallmark findings is replacement of healthy muscle with fat and fibrosis, manifested by an increase in echogenicity from higher sound transitions in the muscle. This increase in echogenicity is most distinct in conditions that lead to chronic pathology, such as long-standing muscle inflammation, dystrophy, or denervation. [PMID:32989482]
HP:0025719;Maternal vascular malperfusion;Gross findings of maternal vascular malperfusion include placental hypoplasia, placental infarction, and retroplacental hemorrhage. If information is available, it is preferable to annotate using the HPO terms that corresponding to the specific abnormalities. [PMID:30129127]
HP:0025720;Limited horizontal extraocular movement;Limited mobility of the eye to move from side to side (horizontally) within its socket. [ORCID:0000-0002-3302-4610]
HP:0025721;Limited vertical extraocular movement;Limited mobility of the eye to move up and down (vertically) within its socket. [ORCID:0000-0002-3302-4610]
HP:0025724;Caseous vernix-like desquamation;Vernix caseosa is a physiological, viscous biofilm that is produced by desquamated fetal skin and sebaceous glands covering the fetus at the third trimester in-utero. The substance's gross morphology in post-partum is described by the etymology, as vernix means varnish, and caseosa means cheesy-like matter. This finding refers to an abnormally thick and greasy vernix caseosa-like scale present at birth. [PMID:21856041]
HP:0025725;Type 1 congenital pulmonary airway malformation;A type of congenital pulmonary airway malformation that is characterized by multiple large cysts or a single dominant cyst. [PMID:27070354]
HP:0025726;Type 2 congenital pulmonary airway malformation;A type of congenital pulmonary airway malformation that is characterized by multiple evenly spaced cysts (sponge-like appearance). [PMID:27070354]
HP:0025727;Type 3 congenital pulmonary airway malformation;A type of congenital pulmonary airway malformation that is characterized by a bulky firm mass with an adenomatoid appearance. [PMID:27070354]
HP:0025728;Periventricular pseudocyst;Pseudocysts that lack an epithelial lining, PVPCs are frequently observed in the caudothalamic groove or in the infero-lateral aspect of the frontal horns of the lateral ventricles, but may also be located elsewhere along the periventricular germinal matrix, as in the temporal or occipital horns. [PMID:12423480, PMID:32277778]
HP:0025729;Fetal vascular malperfusion;The term fetal vascular malperfusion (FVM) is used to describe placental pathology that is throught to result from an obstruction in fetal blood flow that could result from a number of conditions (eg, umbilical cord lesions, hypercoagulability, complications of fetal cardiac dysfunction, such as hypoxia, etc.). [PMID:27223167]
HP:0025730;Foramen ovale aneurysm;Foramen ovale aneurysm (FOA) or atrial septal aneurysm is abnormal redundancy of the atrial septum primum, with bulging of the septum by at least half the width of the atrial chamber, or by at least 10 mm beyond the level of the atrial septum. The abnormal protrusion of the interatrial septum results in decreased left atrial volume. On color Doppler there is reduced left ventricular inflow. [PMID:30601441]
HP:0030000;EMG: repetitive nerve stimulation abnormality;Abnormality observed upon electromyography when nerve studied is electrically stimulated six to ten times at 2 or 3 Hertz. [UToronto:HTrang]
HP:0030002;Nocturnal lagophthalmos;The inability to close the eyelids during sleep. [PMID:16671223]
HP:0030003;Paralytic lagophthalmos;A type of lagophthalmos that occurs in association with facial nerve palsy. [PMID:24618488]
HP:0030004;Cicatricial lagophthalmos;A type of lagophthalmos that occurs following trauma or surgery. []
HP:0030005;Capillary leak;An acute phenomenon characterized by hypotension and anasarca due to the loss of plasma volume into peripheral tissues, with evidence of decreased plasma volume (hemoconcentration) and protein loss from the intravascular space (hypoalbuminemia) during acute episodes. [PMID:24467750, PMID:24808988]
HP:0030007;EMG: positive sharp waves;These are spontaneous firing action potentials stimulated by needle movement of an injured muscle fiber. There is propagation to, but not past, the needle tip. This inhibits the display of the negative deflection of the waveform. [PMID:15961866]
HP:0030008;Cervical agenesis;Congenital absence of the cervix. []
HP:0030009;Cervical insufficiency;A cervix that shows a painless dilation and shortening during the second trimester of pregnancy with resultant recurrent pregnancy loss or delivery is considered incompetent [PMID:17490914, PMID:20643692]
HP:0030010;Hydrometrocolpos;Hydrometrocolpos is an accumulation of uterine and vaginal secretions as well as menstrual blood in the uterus and vagina. [PMID:24046799]
HP:0030011;Imperforate hymen;A congenital disorder where the hymen (a membrane that surrounds or partially covers the external vaginal opening) does not have an opening and completely obstructs the vagina. [PMID:24822139]
HP:0030015;Female anorgasmia;The persistent of recurrent difficulty, delay in, or absence of attaining orgasm following sufficient sexual stimulation and arousal. [PMID:16391543]
HP:0030016;Dyspareunia;Recurrent or persistent genital pain associated with sexual intercourse. [PMID:16391543]
HP:0030017;Vaginismus;Recurrent or persistent involuntary spasms of the musculature of the outer third of the vagina that interferes with vaginal penetration, and which causes personal distress. [PMID:16391543]
HP:0030018;Decreased female libido;Dminished sexual desire in female. []
HP:0030019;Increased female libido;Elevated sexual desire in female []
HP:0030021;Auricular tag;Small protrusion within the pinna. [eom:1b6d89bad30b8f18, PMID:19152421]
HP:0030022;Question mark ear;Cleft between the helix and the lobe. [eom:cffbc3de49dbb172, PMID:19152421]
HP:0030023;Quelprud nodule;Small cartilaginous prominence on the posterior concha. [eom:193d1645eb4eced8, PMID:19152421]
HP:0030024;Pretragal ectopia;Variably shaped, cartilage-containing tissue anterior to the external auditory meatus. [eom:095679c21044c851]
HP:0030025;Auricular pit;Small indentation in the lower part of the ascending helix, concha, or in the crus helix. [eom:1fe5d46deac24493, PMID:19152421]
HP:0030026;Squared superior portion of helix;Flattening instead of curving or rounded superior helix, allowing the superior helix to run more horizontally than usual. [eom:ddce48fcd9ee46f4, PMID:19152421]
HP:0030028;Absent nasal cartilage;Lack of a palpable nasal cartilage. [eom:73e4e8bb2eec316d, PMID:19152422]
HP:0030029;Splayed fingers;Divergence of digits along the A/P axis (in the plane of the palm). [eom:ebc67f029da3caac, PMID:19125433]
HP:0030030;Absent ray;The absence of all phalanges of a digit and the associated metacarpal /metatarsal. [eom:603438e0616f4f69, PMID:19125433]
HP:0030031;Small toe;Significant reduction in both length and girth of the toe compared to the contralateral toe, or alternatively, compared to a typical toe size for an age-matched individual. [eom:4d06c726e63758c5, PMID:19125433]
HP:0030032;Partial absence of foot;An incomplete absence of the foot, with no bony elements distal to the tarsals, but with preservation of some or all of the tarsals. [eom:6a2c173d3d7e3219, PMID:19125433]
HP:0030033;Small finger;Significant reduction in both length and girth of the finger compared to the contralateral finger, or alternatively, compared to a typical finger size for an age-matched individual. [eom:5b823be1388221a1, PMID:19125433]
HP:0030034;Glomerular basement membrane lamellation;Presence of abnormal additional layers of the basement membrane of the glomerulus. [KPMP:arosenberg, PMID:10199473, PMID:12089752]
HP:0030035;Struvite nephrolithiasis;Presence of struvite (magnesium ammonium phosphate) containing calculi (kidney stones). []
HP:0030036;Isothenuria;Inability of the kidneys to produce either concentrated or dilute urine. []
HP:0030037;Bifid ureter;Incomplete duplication of the ureter. [PMID:23513084]
HP:0030039;Fused thoracic vertebrae;A congenital anomaly characterized by a joining (fusion) of two or more thoracic vertebral bodies with one another. []
HP:0030040;Fused lumbar vertebrae;A congenital anomaly characterized by a joining (fusion) of two or more lumbar vertebral bodies with one another. []
HP:0030041;Schmorl's node;A Schmorl's node is the herniation of nucleus pulposus through the cartilaginous and bony end plate into the body of the adjacent vertebra. [PMID:22544358]
HP:0030042;Incomplete ossification of pubis;Failure to complete ossification (maturation and calcification) of the pubic bone. []
HP:0030043;Hip subluxation;A partial dislocation of the hip joint, whereby the head of the femur is partially displaced from the socket. []
HP:0030045;Serpentine fibula;Elongated curved (S-shaped) fibulae. [PMID:21712856, PMID:3409932]
HP:0030046;Hypoglycosylation of alpha-dystroglycan;A reduction in the degree of glycosylation of alpha-dystroglycan in muscle tissue. [PMID:18691338]
HP:0030048;Colpocephaly;Colpocephaly is an anatomic finding in the brain manifested by occipital horns that are disproportionately enlarged in comparison with other parts of the lateral ventricles. [PMID:4058748]
HP:0030049;Brain abscess;A collection of pus, immune cells, and other material in the brain. []
HP:0030050;Narcolepsy;An abnormal phenomenon characterized by a classic tetrad of excessive daytime sleepiness with irresistible sleep attacks, cataplexy (sudden bilateral loss of muscle tone), hypnagogic hallucination, and sleep paralysis. [PMID:21931493]
HP:0030051;Tip-toe gait;An abnormal gait pattern characterized by the failure of the heel to contact the floor at the onset of stance during gait. [PMID:24757457, PMID:26709689]
HP:0030052;Inguinal freckling;The presence in the inguinal region (groin) of an increased number of freckles, small circular spots on the skin that are darker than the surrounding skin because of deposits of melanin. []
HP:0030053;Stiff skin;An induration (hardening) of the skin []
HP:0030054;Perifollicular fibrosis;Presence of excess fibrous connective tissue surrounding hair follicules. []
HP:0030055;Hyperconvex toenail;When viewed on end (with the tip of the toe pointing toward the examiner's eye) the curve of the toenail forms a tighter curve of convexity. []
HP:0030056;Uncombable hair;Hair that is disorderly, stands out from the scalp, and cannot be combed flat. []
HP:0030058;Sickled erythrocytes;An irreversible distortion of the morphology of an erythrocyte such that the cells are elongated and curved, resembling the blade of a sickle (the hand-held agricultural tool traditionally used to harvest grains). []
HP:0030059;Mitochondrial depletion;An abnormal reduction in mitochondrial DNA content of cells. [PMID:23385875]
HP:0030062;Craniopharyngioma;A benign pituitary-region neoplasm that originates from Rathke's pouch. Craniopharyngiomas are benign slow growing tumours that are located within the sellar and para sellar region of the central nervous system. [PMID:17425791]
HP:0030064;Neurocytoma;A benign brain tumor composed of neural elements which most often arise from the septum pellucidum and the walls of the lateral ventricles. []
HP:0030066;Ependymoblastoma;A highly malignant embryonal tumor of infancy and young childhood characterized by neuroectodermal elements organized in distinctive multilayered rosettes. Ependymoblastomas are large lesions that occur in the supratentorial compartment, typically displaying a physical connection to the ventricular system. []
HP:0030068;Olfactory esthesioneuroblastoma;A malignant olfactory neuroblastoma arising from the olfactory epithelium of the superior nasal cavity and cribriform plate. []
HP:0030069;Primary central nervous system lymphoma;A form of extranodal, high-grade non-Hodgkin B-cell neoplasm, usually large cell or immunoblastic type that originates in the brain, leptomeninges, spinal cord, or eyes and typically remains confined to the CNS. [PMID:23696924]
HP:0030071;Medulloepithelioma;A primitive neuroectodermal tumor that originates from the cells of the embryonic medullary canal. [PMID:17566306]
HP:0030072;Paranasal sinus neoplasm;A tumor that originates in the paranasal sinus. []
HP:0030074;Chemodectoma;A usually benign neoplasm originating in the chemoreceptor tissue of the carotid body, glomus jugulare, glomus tympanicum, aortic bodies, or the female genital tract. []
HP:0030075;Ductal carcinoma in situ;Presence of abnormal cells inside a milk duct, that is, non-invasive breast cancer. Ductal carcinoma in situ is considered to be a precursor lesion to invasive breast cancer. [PMID:24415964]
HP:0030076;Lobular carcinoma in situ;
HP:0030078;Lung adenocarcinoma;
HP:0030079;Cervix cancer;A tumor of the uterine cervix. []
HP:0030080;Burkitt lymphoma;A form of undifferentiated malignant lymphoma commonly manifested as a large osteolytic lesion in the jaw or as an abdominal mass. []
HP:0030081;Punctate periventricular T2 hyperintense foci;Multiple pointlike areas of high T2 signal observed upon magnetic resonance imaging of the periventricular cerebral white matter. []
HP:0030083;Salt craving;An excessive desire to eat salt (sodium chloride) or salty foods. []
HP:0030086;Reduced CSF lactate;Decreased concentration of lactate in the cerebrospinal fluid. []
HP:0030088;Increased serum testosterone level;An elevated circulating testosterone level in the blood. []
HP:0030091;Absent muscle fiber merosin;Lack of merosin protein in the muscle biopsy. []
HP:0030092;Reduced muscle fiber merosin;A reduced amount of merosin in muscle fibers. This feature is usually assessed by immunohistochemical examination of muscle biopsy tissue. [HPO:Probinson]
HP:0030094;Reduced muscle fiber laminin beta 1;A reduced amount of laminin beta 1 in muscle fiber tissue. Laminin 2 is a major component of the basal lamina of skeletal muscle cells. It is a heterotrimer composed of 3 chains: merosin (laminin alpha 2 chain), beta 1, and gamma 1. []
HP:0030095;Reduced muscle collagen VI;A decreased amount of collagen VI in muscle tissue. Collagen VI is a primarily associated with the extracellular matrix of skeletal muscle. [UToronto:HTrang]
HP:0030097;Absent muscle dystrophin expression;Lack of dystrophin in muscle tissue. Immunohistochemistry reveals absent dystrophin protein in the muscle biopsy. [PMID:11917091, UToronto:htrang]
HP:0030098;Reduced muscle dystrophin expression;A decreased amount of dystrophin in muscle fiber tissue. [UToronto:htrang]
HP:0030099;Reduced muscle fiber alpha dystroglycan;Immunohistochemistry reveals reduced alpha dystroglycan protein in the muscle biopsy. Alpha-dystroglycan is a heavily glycosylated peripheral-membrane component of the dystrophin-associated glycoprotein complex (DAPC), which, in addition to laminin alpha2, binds perlecan and agrin in the extracellular matrix, whereas beta-dystroglycan, derived from the same gene, is a transmembrane protein that links to dystrophin intracellularly. [HPO:probinson, PMID:11592034, UToronto:htrang]
HP:0030101;Absent muscle fiber alpha sarcoglycan;Lack of alpha sarcoglycan in muscle. Immunohistochemistry reveals absent alpha sarcoglycan protein in the muscle biopsy. [UToronto:htrang]
HP:0030102;Reduced muscle fiber alpha sarcoglycan;A decreased amount of alpha sarcoglycan in muscle. Immunohistochemistry reveals reduced alpha sarcoglycan protein in the muscle biopsy. [UToronto:htrang]
HP:0030106;Absent muscle fiber beta sarcoglycan;Immunohistochemistry shows complete lack of beta sarcoglycan protein in the muscle biopsy. [UToronto:htrang]
HP:0030107;Reduced muscle fiber beta sarcoglycan;Immunohistochemistry reveals reduced beta sarcoglycan protein in the muscle biopsy. [UToronto:htrang]
HP:0030108;Reduced muscle fiber gamma sarcoglycan;Immunohistochemistry reveals reduced gamma sarcoglycan protein in the muscle biopsy. [UToronto:htrang]
HP:0030109;Absent muscle fiber gamma sarcoglycan;Immunohistochemistry shows complete lack of gamma sarcoglycan protein in the muscle biopsy. [UToronto:htrang]
HP:0030110;Absent muscle fiber delta sarcoglycan;Immunohistochemistry shows complete lack of delta sarcoglycan protein in the muscle biopsy. [PMID:26709803, UToronto:htrang]
HP:0030111;Reduced muscle fiber delta sarcoglycan;Abnormally reduced amount of delta sarcoglycan in muscle. [PMID:26709803]
HP:0030114;Absent muscle fiber dysferlin;Immunohistochemistry shows complete lack of dysferlin protein in the muscle biopsy. [UToronto:htrang]
HP:0030115;Reduced muscle fiber dysferlin;Immunohistochemistry reveals reduced dysferlin protein in the muscle biopsy. [UToronto:htrang]
HP:0030117;Absent muscle fiber emerin;Immunohistochemistry shows complete lack of emerin protein in the muscle biopsy. [UToronto:htrang]
HP:0030118;Reduced muscle fiber emerin;Immunohistochemistry reveals reduced emerin protein in the muscle biopsy. [UToronto:htrang]
HP:0030120;Absent muscle fiber calpain-3;Western blot shows complete lack of calpain-3 protein in the muscle biopsy tissue. [UToronto:htrang]
HP:0030121;Reduced muscle fiber calpain-3;Western blot reveals reduced calpain-3 protein in the muscle biopsy tissue. [UToronto:htrang]
HP:0030122;Reduced muscle fiber perlecan;Immunohistochemistry reveals reduced perlecan protein in the muscle biopsy. Perlecan is a basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) also known as heparan sulfate proteoglycan 2 (HSPG2). [HPO:probinson, UToronto:htrang]
HP:0030124;Reduced muscle fiber lamin A/C;A decreased amount of lamin A/C in muscle tissue. This feature can be shown by immunohistochemistry of Western blotting of muscle tissue. [HPO:probinson, UToronto:htrang]
HP:0030125;Sacralization of the fifth lumbar vertebra;A congenital anomaly, in which the transverse process of the last lumbar vertebra (L5) fuses to the sacrum on one side or both, or to ilium, or both. [UToronto:bgallinger]
HP:0030129;Impaired ristocetin cofactor assay activity;Abnormal response to ristocetin as manifested by reduced or lacking aggregation of platelets upon addition of ristocetin to platelet-poor plasma. [HPO:cmiller]
HP:0030130;Impaired von Willibrand factor collagen binding activity;"Reduced ability of von Willibrand factor (vWF) to bind collagen. Abnormal response to collagen as manifested by reduced or lacking ability of plasma von WIllebrand Factor to bind collagen. An ELISA-based assay is typically used; the test is sensitive to loss of von Willebrand Factor high molecular weight multimers. [HPO:cmiller, PMID:18809794]"
HP:0030132;Absence of large von Willibrand factor multimers;Absence of large von Willebrand Factor multimers on gel electrophoresis. [HPO:cmiller]
HP:0030133;Abnormal presence of ultra-large von Willebrand factor multimers;Detection of abnormal ultra-large von Willebrand factor multimers. [HPO:cmiller, PMID:11756169, PMID:25983111]
HP:0030134;Total absence von Willebrand factor multimers;Complete absence of all von Willebrand factor multimers. [HPO:cmiller]
HP:0030135;Absence of intermediate von Willibrand factor multimers;Lack of intermediate von Willebrand Factor multimers on gel electrophoresis. [HPO:cmiller]
HP:0030136;Enhanced ristocetin cofactor assay activity;Abnormal response to ristocetin as manifested by increased aggregation of platelets upon addition of low-dose ristocetin to platelet-rich plasma. [HPO:cmiller]
HP:0030137;Prolonged bleeding following circumcision;Bleeding that persists for a longer than usual time following circumcision. []
HP:0030138;Excessive bleeding from superficial cuts;An abnormally increased degree of bleeding following a superfical injury to the surface of the skin. [HPO:cmiller]
HP:0030139;Excessive bleeding after a venipuncture;An abnormal high amount of bleeding following the procedure of taking a blood sample. [HPO:cmiller]
HP:0030140;Oral cavity bleeding;Recurrent or excessive bleeding from the mouth. [HPO:cmiller]
HP:0030143;Hyperactive bowel sounds;Abnormally increased gurgling/rumbling sounds made by the movement of fluid and gas in the intestines. [HPO:probinson, PMID:22767621]
HP:0030144;Hypoactive bowel sounds;An decreased amount of bowel sounds. [HPO:probinson]
HP:0030145;Lack of bowel sounds;Complete lack of abdominal sounds as assayed by examination of the abdomen with a stethoscope. [HPO:probinson]
HP:0030147;Truncal titubation;Tremor of the trunk in an anterior-posterior plane at 3-4 Hz. [HPO:probinson]
HP:0030149;Cardiogenic shock;Severely decreased cardiac output with evidence of inadequate end-organ perfusion (i.e., tissue hypoxia) in the presence of adequate intravascular volume. [PMID:24188221]
HP:0030150;Plasmacytosis;An abnormally increased number of plasma cells in tissues, exudates, or blood []
HP:0030153;Cholangiocarcinoma;Cholangiocarcinoma is a primary cancer originating in the biliary epithelium i.e., the cholangiocytes, of the extrahepatic and intrahepatic biliary ducts. It is extremely invasive, develops rapidly, often metastasizes, and has a very poor prognosis. They are slow growing tumors which spread longitudinally along the bile ducts with neural, perineural and subepithelial extension. [HPO:probinson, PMID:18536057, PMID:8268770]
HP:0030154;Gallbladder perforation;Rupture of the wall of the gallbladder. [HPO:probinson, PMID:22210542]
HP:0030155;Scrotal pain;An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the scrotum. []
HP:0030157;Flank pain;An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) and perceived to originate in the flank. []
HP:0030158;Cervical ectropion;Cervical ectropion occurs when eversion of the endocervix exposes columnar epithelium to the vaginal milieu [HPO:probinson, PMID:21270291, PMID:28460993]
HP:0030159;Cervical polyp;Abnormal growth of tissue projecting from a mucous membrane of the endocervix. [HPO:probinson, PMID:21270291]
HP:0030160;Cervicitis;Inflammation of the uterine cervix. [HPO:probinson, PMID:21270291]
HP:0030161;Vaginal pruritus;A sensation of itching in the vagina. []
HP:0030162;Glomerulomegaly;Abnormally large size of glomeruli. [HPO:probinson, PMID:21115671, PMID:9402101]
HP:0030164;Jaw claudication;Pain in the jaw or ear induced by chewing or otherwise moving the jaw. [HPO:probinson, PMID:12972467]
HP:0030165;Temporal artery tortuosity;The presence of an increased number of twists and turns of the temporal artery. [HPO:probinson]
HP:0030166;Night sweats;Occurrence of excessive sweating during sleep. [HPO:probinson, PMID:23136329]
HP:0030167;Antimitochondrial antibody positivity;The presence of autoantibodies (immunoglobulins) in the serum that react against mitochondria. [HPO:probinson]
HP:0030169;Gastric varix;Extreme dilation of the submucusoal veins in the stomach. [HPO:probinson, PMID:24891929]
HP:0030170;Cystic artery pseudoaneurysm;Presence of a pseudoaneurysm in the artery that supplies the gallbladder and cystic duct with blood. A pseudoaneurysm, also known as a false aneurysm, forms when blood leaks through a breach of the arterial wall but is contained by the adventitia or surrounding perivascular soft tissue. [HPO:probinson, PMID:24394852]
HP:0030171;Perirenal hematoma;A collection of clotted blood surrounding the kidney. [HPO:probinson, PMID:17963347, PMID:3360039]
HP:0030172;Peripheral amyelination;Congenital absence of the myelin sheath on a nerve. [HPO:jbeats, PMID:22246888]
HP:0030174;Increased peripheral myelin thickness;Elevated thickness of the myelin sheath of peripheral nerves, in a regular and concentric fashion. [HPO:jbeats]
HP:0030175;Myelin tomacula;The presence of multiple sausage-shaped swellings of the myelin sheath (The Latin tomaculum means sausage). [HPO:jbeats, PMID:10727485]
