phenotype1	phenotype2	lin
Increased B cell count	Absent fetal nasal bone	4.384100649655963e-05
Crescentic glomerulonephritis	Fibular bowing	4.577027209409902e-05
Dystrophic toenail	Abnormal proerythroblast morphology	0.00011286086210161102
Hydronephrosis	Defective T cell proliferation	6.472728549673692e-05
Broad ulna	Central posterior corneal opacity	3.993272169545075e-05
Cogwheel rigidity	Limited knee flexion	0.0731961758153137
Difficulty running	Copper accumulation in liver	5.27797715776623e-05
Drooling	Increased hepatic glycogen content	6.128292028884455e-05
Neurofibrillary tangles	Shoulder flexion contracture	5.460915002756528e-05
Frontal release signs	Erysipelas	4.9202003447767416e-05
Impaired lymphocyte transformation with phytohemagglutinin	Unilateral renal hypoplasia	4.818212141725109e-05
Recurrent patellar dislocation	Decreased activity of mitochondrial ATP synthase complex	5.060226372522096e-05
Peripheral pulmonary artery stenosis	Negativism	4.676934355271362e-05
Normocytic anemia	Severe postnatal growth retardation	5.3233448046752955e-05
Colon cancer	Thoracic kyphoscoliosis	5.3801943908288434e-05
Palpitations	Long nose	6.610320492084439e-05
Expressive aphasia	Reduced prothrombin antigen	4.1527089114850486e-05
Gait imbalance	Fetal chylothorax	4.6048912897620735e-05
Long nose	Deficiency or absence of cytochrome b(-245)	5.17666923135561e-05
Intellectual disability, borderline	Atypical neurofibromatosis	0.17279683190298267
Cutaneous anergy	Femoral spur	9.964387059618607e-05
Optic nerve dysplasia	Scaphocephaly	5.716561570063484e-05
Long eyebrows	Atypical absence seizure	5.3190049680399243e-05
Protracted diarrhea	Decreased serum complement factor B	4.5466147121112386e-05
Hypoplastic left heart	Flat cornea	5.593425746080299e-05
Lateral displacement of patellae	Elongated radius	0.12362394938845812
Rotary nystagmus	Coronary artery aneurysm	4.697961363490384e-05
Recurrent Klebsiella infections	Dysfunctional alternative complement pathway	0.22895280609147634
Amelogenesis imperfecta	Isosexual precocious puberty	4.982193529809303e-05
Decreased cervical spine mobility	Abnormal diffusion weighted cerebral MRI morphology	3.993272169545075e-05
Sudden episodic apnea	Increased pulmonary vascular resistance	0.2785093291586912
Spastic dysarthria	Occipital myelomeningocele	0.06782272539171563
Papillary thyroid carcinoma	Prominent frontal sinuses	4.5130913499260864e-05
Leber optic atrophy	Embryonal rhabdomyosarcoma	4.5466147121112386e-05
Intermittent jaundice	Bleeding requiring red cell transfusion	4.325406564155514e-05
Atrophic gastritis	Abnormal liver lobulation	0.15251847655935563
Macular hypoplasia	Paroxysmal dystonia	5.310200520062155e-05
EMG: myopathic abnormalities	Symblepharon	5.605677800716349e-05
Distal peripheral sensory neuropathy	Micrographia	0.08224485601318773
Axial dystonia	Irregular tarsal bones	4.5130913499260864e-05
Congenital agranulocytosis	Type II lissencephaly	4.8971417820076086e-05
Increased blood urea nitrogen	Follicular hyperkeratosis	5.7983937344426006e-05
Small earlobe	Thoracolumbar kyphoscoliosis	5.296668428055062e-05
Male hypogonadism	Prominence of the zygomatic bone	0.00011020149170675073
Large hands	Proximal tibial hypoplasia	0.15084664016728072
Long clavicles	Aminoglycoside-induced hearing loss	4.654557084673223e-05
Renal Fanconi syndrome	L-2-hydroxyglutaric aciduria	0.3136158942822935
Trigonocephaly	Concentric hypertrophic cardiomyopathy	5.960438795471947e-05
Wide-cupped costochondral junctions	Decreased circulating aldosterone level	4.787715215794353e-05
Ridged nail	Cone dystrophy	5.34030760017027e-05
Multiple palmar creases	Elevated circulating follicle stimulating hormone level	4.982193529809303e-05
No social interaction	Nailfold capillary tortuosity	4.5466147121112386e-05
Early balding	Interstitial cardiac fibrosis	4.325406564155514e-05
Oxycephaly	Shortening of all phalanges of fingers	0.10964212042816252
Medullary thyroid carcinoma	Thoracic kyphoscoliosis	4.697961363490384e-05
Decreased circulating ACTH level	EMG: myokymic discharges	9.719461910870474e-05
Parathyroid carcinoma	Single coronary artery origin	4.2520165072717376e-05
Reduced dihydropyrimidine dehydrogenase level	Partial IgA deficiency	0.2964752288212141
Platelet antibody positive	Congenital conductive hearing impairment	4.433252921306609e-05
Incisional hernia	Nodular corneal dystrophy	3.993272169545075e-05
Hypoplasia of the ciliary body	Copper accumulation in liver	4.2520165072717376e-05
Progressive distal muscle weakness	Stooped posture	4.63062709617351e-05
Repetitive compulsive behavior	Afibrinogenemia	4.2520165072717376e-05
Autism	Muscle fiber splitting	6.612225534581772e-05
Hepatosplenomegaly	Sinoatrial block	0.18665889232819063
Recurrent Klebsiella infections	Fetal pericardial effusion	4.577027209409902e-05
Lacrimal duct atresia	Xanthelasma	0.2593495396636691
Arthralgia of the hip	Laryngeal web	4.846394887683536e-05
Urinary bladder sphincter dysfunction	Decreased activity of mitochondrial complex II	5.671552329785147e-05
Reduced coagulation factor V activity	Progressive intervertebral space narrowing	9.719461910870474e-05
Absent pulmonary artery	Urticarial plaque	4.1527089114850486e-05
Neurofibrillary tangles	Cutaneous leiomyosarcoma	4.94196762868381e-05
Broad philtrum	Increased T cell count	0.0001185272603556364
Cerebral vasculitis	Epidermal hyperkeratosis	4.697961363490384e-05
Neuromuscular dysphagia	Nasal polyposis	0.00011527047553262353
Autism	Dysesthesia	0.11152621039528242
Cervical instability	Low levels of vitamin B1	9.093229424222477e-05
Irregularity of vertebral bodies	Factor XIII subunit A deficiency	3.993272169545075e-05
Optic nerve compression	Corneal neovascularization	0.16273291843843218
Refractory anemia	Hypoglycorrhachia	4.433252921306609e-05
Large hands	Tibialis muscle weakness	0.15084664016728072
Attention deficit hyperactivity disorder	Preimplantation lethality	5.560127284614295e-05
Reticular retinal dystrophy	Late spermatogenesis maturation arrest	3.993272169545075e-05
Stomatocytosis	Left ventricular noncompaction	5.4544084512378004e-05
Impaired oxidative burst	Decreased circulating cortisol level	5.376354883792309e-05
Left posterior fascicular block	Decreased activity of mitochondrial complex II	4.6048912897620735e-05
Ureteropelvic junction obstruction	Hip pain	5.406232789246245e-05
Atrophic gastritis	Amyloidosis of peripheral nerves	0.00010181308346727092
Microcornea	Dermoid cyst	5.6986044205289304e-05
Elevated circulating parathyroid hormone level	Long nose	6.052315430826791e-05
Hypochloremia	Iridodonesis	4.982193529809303e-05
Spinal rigidity	Athetoid cerebral palsy	4.8971417820076086e-05
Broad philtrum	Ventricular couplet	4.771461865001634e-05
Unilateral primary pulmonary dysgenesis	Cerebral berry aneurysm	4.384100649655963e-05
Prominent sternum	Acute promyelocytic leukemia	4.6048912897620735e-05
Anterior sacral meningocele	Sirenomelia	8.650813128311028e-05
Bicornuate uterus	Euthyroid hyperthyroxinemia	5.420496616525175e-05
Hip dysplasia	Palilalia	5.560127284614295e-05
Poor wound healing	High-frequency sensorineural hearing impairment	5.1884974814677736e-05
Concentric hypertrophic cardiomyopathy	Recurrent Haemophilus influenzae infections	4.754448578692532e-05
Horizontal ribs	Skin erosion	5.1884974814677736e-05
Humerus varus	Increased laxity of ankles	0.24724789877691625
Short fifth metatarsal	Aortic isthmus hypoplasia	4.384100649655963e-05
Congenital laryngeal stridor	Urinary bladder inflammation	9.093229424222477e-05
Poliosis	Constrictive pericarditis	4.433252921306609e-05
Aniridia	Attention deficit hyperactivity disorder	6.980994128024095e-05
Hyperhomocystinemia	Acetabular erosions	4.6048912897620735e-05
Late-onset distal muscle weakness	Unconjugated hyperbilirubinemia	4.982193529809303e-05
Decreased numbers of nephrons	Asthenia	4.754448578692532e-05
Aplasia of the thymus	Intracranial meningioma	9.093229424222477e-05
Thick upper lip vermilion	Multiple joint dislocation	5.512990542636853e-05
Progressive joint destruction	Decreased circulating osteocalcin level	4.1527089114850486e-05
Hyperchloremic metabolic acidosis	Elevated diastolic blood pressure	4.5130913499260864e-05
Hypermagnesemia	Prominent calcaneus	4.63062709617351e-05
Progressive psychomotor deterioration	Pigment deposition in the trabecular meshwork	4.1527089114850486e-05
Fetal polyuria	Oral mucosa nodule	9.719461910870474e-05
Decreased activity of NADPH oxidase	Episodic generalized hypotonia	4.513091349926087e-05
Blue sclerae	Dermal translucency	6.584604612246195e-05
Granulovacuolar degeneration	Cardiorespiratory arrest	4.577027209409902e-05
Eruptive xanthomas	Predominantly dermal neutrophilic infiltrate	0.3698868662247785
Low frustration tolerance	Shoulder girdle muscle atrophy	5.344453059754979e-05
Colon cancer	Difficulty descending stairs	4.803278487698834e-05
Hypoplasia of the bladder	Increased renal tubular phosphate reabsorption	0.20372923909025742
Brain stem compression	Malrotation of colon	4.325406564155514e-05
Localized epidermolytic hyperkeratosis	Absent hallux	4.2520165072717376e-05
Incisional hernia	Increased intramuscular fat	0.2108393561967452
Tegumentary leishmaniasis susceptibility	Reticular pattern on pulmonary HRCT	4.2520165072717376e-05
Shoulder girdle muscle atrophy	Reticulated skin pigmentation	5.08325315417379e-05
Increased serum pyruvate	Glaucomatous visual field defect	5.097926599079281e-05
Retinal infarction	Decreased male libido	8.650813128311028e-05
Diffuse reticular or finely nodular infiltrations	Hypochloremia	4.63062709617351e-05
Difficulty walking	Hallux varus	0.09194225048275828
Difficulty walking	Ascending aorta hypoplasia	5.387780995692066e-05
Macular hypoplasia	Cervical spina bifida	0.00010875500214216927
Enlarged kidney	Elevated hepatic iron concentration	5.467335855409396e-05
Facial erythema	Aplasia of the nose	5.018735786356822e-05
Cryptophthalmos	Generalized muscle weakness	5.756276621725458e-05
Occipital myelomeningocele	Low self esteem	0.1252296623461168
Decreased Achilles reflex	Nuchal rigidity	4.325406564155514e-05
Nephronophthisis	Malignant hyperthermia	6.197785723846583e-05
Hypoalbuminemia	Distal tibial bowing	5.139110160925746e-05
Macular coloboma	Episodic metabolic acidosis	5.018735786356822e-05
Striae distensae	Increased arm span	5.035839919835104e-05
Short columella	Peripheral Schwannoma	5.097926599079281e-05
Hamartomatous stomach polyps	Type 2 muscle fiber predominance	4.433252921306609e-05
Annular pancreas	Coombs-positive hemolytic anemia	5.2731814525986136e-05
Progressive ophthalmoplegia	Hypoplasia of the calcaneus	4.325406564155514e-05
Shoulder flexion contracture	Malposition of the stomach	4.5130913499260864e-05
Narrow nose	Asymmetry of the thorax	5.391529164214544e-05
Paroxysmal atrial tachycardia	Diaphragmatic eventration	4.754448578692532e-05
Megalocornea	Congenital alveolar dysplasia	4.818212141725109e-05
Abnormal speech discrimination	Cervical spinal cord atrophy	4.433252921306609e-05
Electronegative electroretinogram	Thyroid nodule	4.384100649655963e-05
Increased variability in muscle fiber diameter	Factor XIII subunit A deficiency	5.268334294480699e-05
Increased red blood cell mass	Reduced catalase level	4.325406564155514e-05
High forehead	Decreased glucosephosphate isomerase level	5.608093650033667e-05
Leukocoria	Thin eyebrow	5.3526348262195045e-05
Agenesis of cerebellar vermis	Accelerated bone age after puberty	5.000878978756325e-05
Caudal appendage	Intellectual disability, progressive	5.6779183812208814e-05
Narrow face	Acute hepatitis	5.105075200522169e-05
Paronychia	Hypoplasia of olfactory tract	4.325406564155514e-05
Absent specific antibody response	Testicular dysgenesis	4.433252921306609e-05
Corneal crystals	Subepithelial corneal opacities	0.46837030632533805
Polyphagia	Progressive night blindness	5.3190049680399243e-05
Nonarteritic anterior ischemic optic neuropathy	Abnormal liver function tests during pregnancy	4.325406564155514e-05
Prolonged QTc interval	Decreased corneal reflex	5.327644182247792e-05
Hypoplasia of the thymus	Laryngeal stridor	5.035839919835104e-05
Mask-like facies	Recurrent loss of toenails and fingernails	4.803278487698834e-05
Myxomatous mitral valve degeneration	Absent natural killer cells	4.513091349926087e-05
Glossitis	Dysfunctional alternative complement pathway	4.2520165072717376e-05
Corneal crystals	Hypoplasia of proximal radius	4.433252921306609e-05
Optic nerve dysplasia	Myoclonic absence seizure	4.972512993112043e-05
Generalized aminoaciduria	Mild malformation of cortical development	0.00010181308346727092
Keratoglobus	Reduced pancreatic beta cells	4.2520165072717376e-05
Methylmalonic acidemia	Prominence of the zygomatic bone	0.0001072135125263395
Right ventricular dilatation	Congenital agranulocytosis	4.676934355271362e-05
Spontaneous esophageal perforation	Clubbing of fingers	5.035839919835104e-05
Spontaneous hematomas	Incomplete cleft of the upper lip	4.2520165072717376e-05
Secondary hyperparathyroidism	Increased CSF glycine concentration	4.325406564155514e-05
Neuropathic spinal arthropathy	Vaginal mucosal ulceration	4.1527089114850486e-05
Migraine with aura	Cerebellar hemangioblastoma	0.07333470963892622
Peripheral hypomyelination	Asymmetry of the mouth	4.5130913499260864e-05
Secondary hyperparathyroidism	Reduced circulating prolactin concentration	0.28938149616463066
Large vessel vasculitis	Dorsal column degeneration	4.1527089114850486e-05
Syringomyelia	Lateral ventricle dilatation	0.1972697755277311
Hypoketotic hypoglycemia	Acute myelomonocytic leukemia	4.384100649655963e-05
Malaligned carpal bone	Palmoplantar blistering	0.20368002550684386
Spinal rigidity	Elevated diastolic blood pressure	4.8971417820076086e-05
Hyposthenuria	Irregular astigmatism	9.435605386316377e-05
Long penis	Psoriasiform dermatitis	5.460915002756528e-05
Rheumatoid factor positive	Hypergastrinemia	4.754448578692532e-05
Photophobia	Optic atrophy from cranial nerve compression	0.13786661124439592
Narrow mouth	Copper accumulation in liver	6.12925776519878e-05
Migraine with aura	Hypothalamic luteinizing hormone-releasing hormone deficiency	0.2117247320450922
Peripheral dysmyelination	Hypereosinophilia	4.697961363490384e-05
Congenital conductive hearing impairment	5-minute APGAR score of 1	4.1527089114850486e-05
Coxa vara	Central hypoventilation	6.0243663577216605e-05
Peripheral hypomyelination	Precocious puberty in males	4.717802693158188e-05
Eyelid apraxia	Patchy atrophy of the retinal pigment epithelium	9.719461910870474e-05
Granulovacuolar degeneration	Absent anterior chamber of the eye	4.1527089114850486e-05
Prominent nipples	Aplasia cutis congenita on trunk or limbs	4.433252921306609e-05
Otosclerosis	Diaphyseal thickening	4.982193529809304e-05
Absence of pectoralis minor muscle	Mandibular condyle aplasia	0.06392906810526298
Increased intracellular sodium	Posterior pharyngeal cleft	3.993272169545075e-05
Oligomenorrhea	Decreased CD4:CD8 ratio	5.498236436259655e-05
Generalized hirsutism	Freckles in sun-exposed areas	0.14688932268845245
Depression	Abnormal location of the eyebrow	0.0001634119577200808
Partial albinism	High myopia	6.0220737686329105e-05
Left posterior fascicular block	Congenital megaureter	3.993272169545075e-05
Intellectual disability, profound	Mixed demyelinating and axonal polyneuropathy	0.0984590523333542
Progressive psychomotor deterioration	Osteopoikilosis	4.325406564155514e-05
Recurrent streptococcus pneumoniae infections	Hypoesthesia	4.6048912897620735e-05
Personality changes	Prominent sternum	5.81503944877191e-05
Hypoplasia of the thymus	Squamous cell carcinoma of the skin	5.4544084512378e-05
Progressive encephalopathy	Female external genitalia in individual with 46,XY karyotype	4.433252921306609e-05
Central retinal vessel vascular tortuosity	Hypotriglyceridemia	4.754448578692532e-05
Decreased testicular size	Medullary nephrocalcinosis	0.2182112186280878
Parathyroid adenoma	Non-medullary thyroid carcinoma	0.674865807499001
Narrow forehead	Acetabular dysplasia	6.975611917210997e-05
Large hands	Severe generalized osteoporosis	5.1121044803246014e-05
Valgus hand deformity	Increased mitochondrial number	3.993272169545075e-05
Depressed nasal bridge	Open operculum	6.0163039122678783e-05
Facial flushing after alcohol intake	Increased size of the mandible	4.1527089114850486e-05
Hamartomatous stomach polyps	Primary gonadal insufficiency	4.1527089114850486e-05
Frequent falls	Increased corneal thickness	5.420496616525175e-05
Bacterial endocarditis	Reduced blood urea nitrogen	3.993272169545075e-05
Impotence	Absent humerus	0.00010875500214216927
Hyperoxaluria	Craniopharyngioma	4.384100649655963e-05
Pancreatic hypoplasia	Pulmonary artery atresia	5.6736828533670213e-05
Spontaneous neonatal pneumothorax	Anal fissure	4.1527089114850486e-05
Metacarpophalangeal joint contracture	Absence of acoustic reflex	4.433252921306609e-05
Large basal ganglia	Clinodactyly of the thumb	4.1527089114850486e-05
Wolff-Parkinson-White syndrome	C2-C3 subluxation	4.697961363490384e-05
Melena	Lip hyperpigmentation	9.964387059618607e-05
Narrow nasal bridge	Absent pubic hair	5.406232789246245e-05
Necrotizing myopathy	Subpleural interstitial thickening	7.98654433909015e-05
Oval face	Retractile testis	4.654557084673223e-05
Short foot	Melena	6.215727434430611e-05
Bradykinesia	Carotid cavernous fistula	5.2484059942904394e-05
Keratoconus	Perifollicular hyperkeratosis	4.859730955435236e-05
Hypocalcemic seizures	Aplasia of the ulna	5.035839919835104e-05
Peters anomaly	Nasogastric tube feeding	5.605677800716349e-05
Weak cry	Anti-thyroid peroxidase antibody positivity	5.4478136502102925e-05
Lower limb hypertonia	Protruding tongue	5.9488657926071497e-05
Hyperopic astigmatism	Supernumerary maxillary incisor	4.433252921306609e-05
Slender nose	Irregularity of vertebral bodies	4.325406564155514e-05
Restrictive behavior	Pituitary corticotropic cell adenoma	0.07260860806422954
Membranoproliferative glomerulonephritis	Loss of consciousness	5.0979265990792815e-05
Sacral dimple	Unilateral renal dysplasia	5.447813650210292e-05
Phimosis	Congenital blindness	4.9202003447767416e-05
Progressive cataract	Cryoglobulinemia	4.325406564155514e-05
Generalized arterial calcification	Decreased transferrin saturation	7.98654433909015e-05
Increased red cell osmotic resistance	Aortopulmonary collateral arteries	4.384100649655963e-05
Restrictive behavior	Absent nasal bridge	4.982193529809303e-05
Molar tooth sign on MRI	Fetal distress	6.551269982287309e-05
Micropenis	Intellectual disability, mild	9.772816007987879e-05
Syringomyelia	Cartilaginous ossification of larynx	4.96259101477913e-05
Biliary cirrhosis	Permanent atrial fibrillation	5.398937804600152e-05
Lack of spontaneous play	Progressive congenital scoliosis	4.63062709617351e-05
Impaired convergence	Increased pituitary glycoprotein hormone alpha subunit level	8.650813128311028e-05
Tetany	Patellar aplasia	0.08474703951543015
Hypersensitivity pneumonitis	Pituitary corticotropic cell adenoma	3.993272169545075e-05
Leukopenia	Fractured rib	5.044130633155607e-05
Ocular albinism	Lumbosacral meningocele	4.94196762868381e-05
Hypothalamic hamartoma	Female pseudohermaphroditism	4.5130913499260864e-05
Hemolytic-uremic syndrome	Progressive language deterioration	4.818212141725109e-05
Poor eye contact	Eruptive vellus hair cyst	0.0001485699338816126
Decreased miniature endplate potentials	Enlarged peripheral nerve	0.06782272539171563
Elevated erythrocyte sedimentation rate	Subepithelial corneal opacities	5.000878978756325e-05
Hyperhomocystinemia	Secretory diarrhea	5.398937804600152e-05
Hypoplastic nasal bridge	Metacarpophalangeal joint contracture	4.433252921306609e-05
Nocturia	Hypoglycorrhachia	4.63062709617351e-05
Stroke-like episode	Increased CD4:CD8 ratio	4.717802693158188e-05
Molar tooth sign on MRI	Increased serum beta-hexosaminidase	5.510074585337536e-05
Odontodysplasia	Decreased sensory nerve conduction velocity	4.920200344776741e-05
Progressive microcephaly	Wrist pain	0.11469831821019394
Precocious atherosclerosis	Bilateral microphthalmos	4.952414116553883e-05
Pathologic fracture	Recurrent candida infections	5.406232789246245e-05
Allergic rhinitis	Tibial arterial calcification	4.6048912897620735e-05
Urinary urgency	Convergence excess esotropia	5.035839919835104e-05
Distal femoral bowing	Narrow jaw	0.09475226073827224
Molybdenum cofactor deficiency	Paranasal sinus hypoplasia	4.433252921306609e-05
Heparan sulfate excretion in urine	Increased body mass index	4.754448578692532e-05
Facial paralysis	Ciliary body melanoma	0.00010376994962935547
Hypertelorism	Decreased serum bicarbonate concentration	6.645254075187589e-05
Platybasia	Upper limb postural tremor	4.8463948876835354e-05
Congenital adrenal hyperplasia	Cystocele	4.433252921306609e-05
Immune dysregulation	Downbeat nystagmus	4.63062709617351e-05
Decreased circulating total IgA	Cryptococcal meningitis	0.22205491814234185
Hyperorality	Aortic valve stenosis	5.83754181984074e-05
Mutism	Intimal thickening in the coronary arteries	4.7365940235228194e-05
Progressive inspiratory stridor	Fiber type grouping	4.475678658742209e-05
Crusting erythematous dermatitis	Decreased urinary potassium	3.993272169545075e-05
Recurrent thrombophlebitis	Foot dorsiflexor weakness	5.9250119565265204e-05
Decreased fumarate hydratase activity	Synovial hypertrophy	3.993272169545075e-05
2-3 toe syndactyly	Aortopulmonary window	5.20565979511055e-05
Keratoglobus	Thromboembolic stroke	4.433252921306609e-05
Microcornea	Increased circulating ACTH level	6.028925619568364e-05
Vaginal atresia	Petechiae	5.7580974223703494e-05
Weak cry	White hair	5.4478136502102925e-05
Inflexible adherence to routines or rituals	Myocardial calcification	4.654557084673223e-05
Limb ataxia	Hypoplasia of the anterior nasal spine	0.00014615902450481694
Hyperkeratosis with erythema	Akinetic mutism	3.993272169545075e-05
Hypoplasia of proximal radius	Amyotrophic lateral sclerosis	5.1884974814677736e-05
Parietal foramina	Alien limb phenomenon	0.00011020149170675073
Lateral ventricle dilatation	Heavy proteinuria	0.00014203827912304202
Elevated leukocyte alkaline phosphatase	Inappropriate absence of fever	0.13685491324934054
Fibular aplasia	Progressive ophthalmoplegia	4.94196762868381e-05
Tethered cord	Soft tissue swelling of interphalangeal joints	4.754448578692532e-05
Hypothalamic hamartoma	Aspiration	5.4861080886907756e-05
Neck flexor weakness	Social and occupational deterioration	4.920200344776741e-05
11 pairs of ribs	Scleritis	4.952414116553882e-05
Increased intracellular sodium	Renal hypophosphatemia	0.13685491324934054
Hashimoto thyroiditis	Periventricular leukomalacia	5.7777372208662166e-05
Optic nerve dysplasia	Bowing of the vocal cords	4.676934355271362e-05
Intractable diarrhea	3-Methylglutaconic aciduria	5.4134178713156775e-05
Olivopontocerebellar atrophy	Trigeminal neuralgia	0.07397552848834581
Impaired gluconeogenesis	Severe receptive language delay	4.2520165072717376e-05
Buphthalmos	Progressive proximal muscle weakness	5.164509580017892e-05
Myofibrillar myopathy	Severe postnatal growth retardation	5.3233448046752955e-05
Hypoplastic nasal bridge	Finger flexor weakness	9.093229424222477e-05
Episodic ataxia	Sudden episodic apnea	4.982193529809303e-05
Bilateral tonic-clonic seizure on awakening	Left ventricular outflow tract obstruction	4.697961363490384e-05
Low-set, posteriorly rotated ears	Bulbar palsy	6.262067713832769e-05
GM2-ganglioside accumulation	Absent scrotum	4.433252921306609e-05
Aortic tortuosity	Absent first metatarsal	4.384100649655963e-05
Hemoptysis	Myeloid maturation arrest	4.654557084673223e-05
Thick lower lip vermilion	Hypoplasia of the anterior nasal spine	0.3600698853516923
Nonimmune hydrops fetalis	Multiple rib fractures	5.420496616525175e-05
Pancreatic cysts	Compensated hypothyroidism	5.112104480324602e-05
Juvenile cataract	Congenital blindness	0.12297768951619083
Renotubular dysgenesis	Low levels of vitamin K	4.2520165072717376e-05
Decreased size of nerve terminals	Ventricular flutter	4.2520165072717376e-05
Pulmonary hypoplasia	Unilateral ptosis	6.541384334925337e-05
Intractable diarrhea	Diffuse telangiectasia	4.63062709617351e-05
Elevated amniotic fluid alpha-fetoprotein	Decreased proportion of CD4-positive helper T cells	4.920200344776741e-05
Madelung deformity	Postnatal macrocephaly	0.10668981169092821
Dysplastic aortic valve	Congenital blindness	4.846394887683536e-05
Defective B cell differentiation	Ulnar radial head dislocation	4.1527089114850486e-05
Posterior vertebral hypoplasia	Dilatation of celiac artery	4.2520165072717376e-05
Anterior concavity of thoracic vertebrae	Agenesis of the diaphragm	0.06719850198306114
Irregular tarsal bones	Anti-myeloperoxidase antibody positivity	3.993272169545075e-05
Decreased size of nerve terminals	BCGitis	4.754448578692532e-05
Inguinal hernia	Recurrent cystitis	0.00019489941464014194
Large vessel vasculitis	Decreased mitochondrial complex III activity in liver tissue	4.325406564155514e-05
Multiple myeloma	Absent scrotum	4.433252921306609e-05
Metatarsus adductus	Prolonged partial thromboplastin time	6.549199941588172e-05
Reduced antithrombin III activity	Angioedema	5.437750107108463e-05
Bifid nasal tip	Progeroid facial appearance	5.9986548001061865e-05
Frontal release signs	Pituitary hypothyroidism	0.07507176250793803
Upper eyelid coloboma	Cardiorespiratory arrest	5.060226372522096e-05
Rocker bottom foot	Knee flexion contracture	0.29989429696099795
Ulnar deviation of the wrist	Patent ductus arteriosus after birth at term	4.577027209409902e-05
Prolonged bleeding after dental extraction	Congenital Horner syndrome	4.63062709617351e-05
Secondary growth hormone deficiency	Agenesis of the diaphragm	9.093229424222477e-05
Frequent Giardia lamblia infestation	Recurrent streptococcus pneumoniae infections	0.2870465140547815
Hematemesis	Aplasia of the right hemidiaphragm	4.676934355271362e-05
Long palpebral fissure	Macular coloboma	5.94626281468585e-05
6 metacarpals	Aplasia of the parotid gland	4.1527089114850486e-05
Exocrine pancreatic insufficiency	Sparse facial hair	5.08325315417379e-05
Heinz body anemia	Macular exudate	7.98654433909015e-05
Centrocecal scotoma	Increased serum serotonin	4.803278487698834e-05
Mild intrauterine growth retardation	Decreased glomerular filtration rate	4.8726132196001617e-05
Agenesis of cerebellar vermis	Stooped posture	0.08237486115113883
Recurrent corneal erosions	Short thorax	5.730125608793349e-05
Male hypogonadism	Onychogryposis of fingernail	0.00011020149170675073
Mandibular osteomyelitis	HbH hemoglobin	4.433252921306609e-05
Cervical kyphosis	Tortuous cerebral arteries	4.9419676286838104e-05
Pelvic kidney	Thick lower lip vermilion	6.553849278625318e-05
Nail pits	Erosion of oral mucosa	4.6048912897620735e-05
Tapered finger	Anisopoikilocytosis	6.300932022708953e-05
Sudanophilic leukodystrophy	Fusiform cerebral aneurysm	0.13111624298372898
Axial muscle stiffness	Lung abscess	4.1527089114850486e-05
Protein avoidance	Areas of hypopigmentation and hyperpigmentation that do not follow Blaschko lines	4.384100649655963e-05
Autism	Platelet antibody positive	5.7046571443138735e-05
Skull asymmetry	Absence of secondary sex characteristics	4.475678658742209e-05
Reticulocytopenia	Stage 4 chronic kidney disease	0.00011020149170675073
Congenital nephrotic syndrome	Distal joint laxity	4.384100649655963e-05
Narrow nose	Ethmoidal encephalocele	0.11072610759132759
Right ventricular dilatation	Laryngeal stridor	4.803278487698834e-05
Juvenile rheumatoid arthritis	Short first metatarsal	0.10594849540789716
Hypophosphatemic rickets	Long upper lip	5.3526348262195045e-05
Mandibular prognathia	Hepatosplenomegaly	8.451679388882591e-05
Spondylometaphyseal dysplasia	Crystalline corneal dystrophy	4.63062709617351e-05
Wide humerus	Macroscopic hematuria	4.1527089114850486e-05
Median cleft lip and palate	Marcus Gunn pupil	4.475678658742209e-05
Decreased testicular size	Short thorax	6.517418024396725e-05
Increased urinary potassium	Nodular regenerative hyperplasia of liver	4.577027209409902e-05
Respiratory alkalosis	Single coronary artery origin	4.384100649655963e-05
Impaired ocular abduction	Difficulty standing	4.9419676286838104e-05
Metaphyseal chondrodysplasia	Hypoplasia of the primary teeth	4.787715215794353e-05
Progressive ophthalmoplegia	Gastric lymphoma	4.1527089114850486e-05
Gingival bleeding	Platelet-activating factor acetylhydrolase deficiency	4.754448578692532e-05
Shallow orbits	Odontodysplasia	0.13595448535443438
Microglossia	Anal canal squamous carcinoma	4.7365940235228194e-05
Juvenile gastrointestinal polyposis	Partial atrioventricular canal defect	4.1527089114850486e-05
Aortic arch calcification	Rhombencephalosynapsis	4.1527089114850486e-05
Reduced delayed hypersensitivity	Elevated serum acid phosphatase	0.38551012985540006
Multiple digital exostoses	Posterior pituitary hypoplasia	3.993272169545075e-05
Constrictive pericarditis	Anterior lenticonus	4.433252921306609e-05
Intellectual disability, mild	Mutism	0.23326606781664858
Broad skull	Glutaric aciduria	4.846394887683536e-05
Eruptive xanthomas	Diffuse demyelination of the cerebral white matter	4.513091349926087e-05
Phthisis bulbi	Impaired oropharyngeal swallow response	4.717802693158188e-05
Split hand	Gastrointestinal stroma tumor	5.633950201869397e-05
Spastic tetraplegia	Cystic lesions of the pinnae	5.368580671833106e-05
Dystrophic toenail	Forearm reduction defects	4.8971417820076086e-05
Glycosuria	Triangular tongue	4.859730955435236e-05
Trigonocephaly	Weakness of the intrinsic hand muscles	0.08255950308578813
Reduced delayed hypersensitivity	Paraseptal emphysema	4.433252921306609e-05
Postlingual sensorineural hearing impairment	Laryngeal hypoplasia	4.676934355271362e-05
Hematemesis	Pelvic bone exostoses	4.803278487698834e-05
