phenotype1	phenotype2	lin	cos
Heinz body anemia	Gonadal dysgenesis with female appearance, male	3.993272169545075e-05	0.25475764
Multiple lentigines	Panic attack	4.8971417820076086e-05	-0.010788806
Hypoplasia of the cochlea	Chronic cutaneous wound	9.435605386316376e-05	0.22806875
Patent foramen ovale	Unilateral conductive hearing impairment	5.344453059754979e-05	0.23227218
Episodic hypertension	Myelokathexis	4.433252921306609e-05	0.27664226
Amblyopia	Unexplained fevers	5.612891729639459e-05	0.09947027
Polyneuropathy	Kaposi's sarcoma	5.543990558251901e-05	0.1227963
Midgut malrotation	Adrenocorticotropin receptor defect	4.1527089114850486e-05	0.14647202
Spondylolysis	Prolonged bleeding after surgery	5.08325315417379e-05	0.12002055
Penile hypospadias	Hidrotic ectodermal dysplasia	4.63062709617351e-05	0.47463334
Centrocecal scotoma	Neuronal loss in the cerebral cortex	4.433252921306609e-05	0.43732506
Abnormal sacral segmentation	Intellectual disability, severe	5.671552329785146e-05	0.24954799
Myocardial infarction	Platelet antibody positive	5.18262354732069e-05	0.19056153
Frontal release signs	Increased hematocrit	5.060226372522096e-05	0.28357747
Cranium bifidum occultum	Hydatidiform mole	4.513091349926087e-05	0.22709505
Leukocoria	Myocardial infarction	5.518771718191311e-05	0.09654918
Genital ulcers	Absent first metatarsal	4.2520165072717376e-05	0.054522097
Anterior vertebral fusion	Restricted chest movement	0.2179353880321134	0.14665982
Molybdenum cofactor deficiency	Narrow jaw	4.546614712111239e-05	0.15024698
Degeneration of anterior horn cells	Lipoatrophy	5.263434461129656e-05	0.19149072
Alternating esotropia	Limited mobility of proximal interphalangeal joint	4.475678658742209e-05	0.2256521
Hepatic arteriovenous malformation	Weak extraocular muscles	4.433252921306609e-05	0.08091935
Selective tooth agenesis	Tethered cord	6.146392199621068e-05	0.099533945
Nonketotic hypoglycemia	Apocrine hidrocystoma	4.1527089114850486e-05	0.32805923
Mitochondrial malic enzyme reduced	Decreased serum complement C4b	4.325406564155514e-05	0.33866048
Tongue fasciculations	Pure red cell aplasia	5.3685806718331065e-05	0.05262292
Premature occlusive vascular stenosis	Ovarian dermoid cyst	7.98654433909015e-05	0.25713298
Extramedullary hematopoiesis	Protein-losing enteropathy	5.2731814525986136e-05	0.167921
Abnormal caudate nucleus morphology	Cystic pattern on pulmonary HRCT	4.846394887683536e-05	0.37124264
Recurrent aspiration pneumonia	Fine hair	6.089414319180311e-05	0.10586632
Lack of spontaneous play	Cochlear degeneration	5.08325315417379e-05	0.1388976
Decreased miniature endplate potentials	Reduced plasminogen activator inhibitor 1 activity	9.435605386316376e-05	0.29966295
Delayed femoral head ossification	Metopic synostosis	0.1051318756945924	0.3206667
Prominent nasal bridge	Congenital agranulocytosis	5.781233990846204e-05	0.260251
Dilated cardiomyopathy	Torsade de pointes	0.2269037982753917	0.33025905
Basal ganglia calcification	Abnormal vertebral segmentation and fusion	0.109499766910556	0.42256504
Retinal vascular proliferation	Elevated 7-dehydrocholesterol	3.993272169545075e-05	0.15305015
Absence of intrinsic factor	Chronic lymphocytic meningitis	4.1527089114850486e-05	0.13805658
Episodic flaccid weakness	Capillary leak	9.093229424222476e-05	0.20418136
Corneal scarring	Mild microcephaly	0.0784842223879907	0.20519006
Split foot	Testicular dysgenesis	5.27797715776623e-05	0.18687306
Generalized lymphadenopathy	Palate fistula	4.475678658742209e-05	0.042644337
Short columella	Thick skull base	0.115550671738056	0.10810263
Hypoalbuminemia	Ampulla of Vater carcinoma	0.0001441428619437	0.32614356
Sudden episodic apnea	Nephrosclerosis	4.1527089114850486e-05	0.17623594
Large hands	Elevated gamma-glutamyltransferase level	6.18288604522687e-05	0.25567338
Absent frontal sinuses	Reduced dihydropyrimidine dehydrogenase level	4.846394887683536e-05	0.046536587
Low cholesterol esterification rate	Delayed ability to stand	4.717802693158188e-05	0.16773485
Increased cellular sensitivity to UV light	Reduced coagulation factor V activity	4.9202003447767416e-05	0.16169709
Spontaneous, recurrent epistaxis	Elevated serum transaminases during infections	4.717802693158188e-05	0.20275871
Oral ulcer	Peripheral pulmonary vessel aplasia	4.803278487698834e-05	0.17358874
Glomus tympanicum paraganglioma	Central core regions in muscle fibers	4.433252921306609e-05	0.062500715
Spondylolysis	Severe generalized osteoporosis	0.1051318756945924	0.3502484
Hip dysplasia	Frontotemporal cerebral atrophy	5.982926574529607e-05	0.29822463
Keratoconjunctivitis sicca	Ph-positive acute lymphoblastic leukemia	0.2125978679378474	0.122999504
Myxomatous mitral valve degeneration	Multiple cutaneous leiomyomas	4.325406564155514e-05	0.43268633
Gonadal dysgenesis with female appearance, male	Neck pain	4.2520165072717376e-05	0.2133876
Diffuse demyelination of the cerebral white matter	Adrenocorticotropic hormone excess	0.1333793171073845	0.036437243
Hypoplasia of lymphatic vessels	Retinal arteriolar occlusion	0.2831205401297332	0.36828503
Menorrhagia	Antalgic gait	0.0001289019668609	0.21554066
Hypnopompic hallucinations	Central hypoventilation	4.5130913499260864e-05	0.36482725
Abnormal upper motor neuron morphology	Conjugated hyperbilirubinemia	5.605677800716349e-05	0.2817992
Glyoxalase deficiency	Severe influenza infection	4.325406564155514e-05	0.11729556
Cachexia	Hypoplasia of the ciliary body	4.546614712111239e-05	0.2557505
Shallow orbits	Agenesis of permanent molar	0.1296021447477369	0.012007901
Petechiae	Intellectual disability, progressive	6.585098205252482e-05	0.064321935
Hypernatremic dehydration	Secondary growth hormone deficiency	8.650813128311028e-05	0.41393024
Elongated radius	Recurrent loss of toenails and fingernails	3.993272169545075e-05	0.15314117
Degeneration of the lateral corticospinal tracts	Femoral arterial calcification	4.5130913499260864e-05	0.29124272
Absence of intrinsic factor	Self-neglect	8.650813128311028e-05	0.23508868
Elevated urinary delta-aminolevulinic acid	Malrotation of colon	4.63062709617351e-05	0.18742763
Cholecystitis	Confluent hyperintensity of cerebral white matter on MRI	0.0001037699496293	0.06843382
Thiamine-responsive megaloblastic anemia	Absent vestibular function	3.993272169545075e-05	0.16671893
Glenoid fossa hypoplasia	Hepatic bridging fibrosis	4.885073886735671e-05	0.22606485
Dandy-Walker malformation	Hiatus hernia	0.1028026913056805	0.19884667
Chronic diarrhea	Secretory diarrhea	0.6103719898668347	0.83379644
Hyperproteinemia	Hyponatremia	0.7025153347547647	0.38717115
Increased serum pyruvate	Basal ganglia necrosis	4.859730955435236e-05	0.12242231
Frequent falls	Malignant genitourinary tract tumor	5.151997576365433e-05	0.033578593
EMG: chronic denervation signs	Happy demeanor	5.4830288020923946e-05	0.019701725
Hypocalcemic seizures	Cervical C3/C4 vertebral fusion	4.433252921306609e-05	0.2770609
Obstructive sleep apnea	Elevated urinary delta-aminolevulinic acid	5.722416493511565e-05	0.14820012
Abnormal oral glucose tolerance	Angle closure glaucoma	4.325406564155514e-05	0.3973106
Acanthosis nigricans	Aortic arch calcification	4.991645038542758e-05	0.21205533
Primary hypothyroidism	Skeletal myopathy	4.325406564155514e-05	0.36661318
Megalocornea	Hamartomatous stomach polyps	4.818212141725109e-05	0.13071305
Absent pubic hair	Decreased circulating apolipoprotein AI concentration	4.803278487698834e-05	0.18245758
Sacral dimple	Reduced aldolase level	0.0001471371386978	0.16840546
Pulmonary arteriovenous malformation	Central nervous system degeneration	4.577027209409902e-05	0.19417943
High, narrow palate	Sulfite oxidase deficiency	5.710642313801828e-05	0.17387466
Primary hypercortisolism	Fusion of the cerebellar hemispheres	4.325406564155514e-05	0.25496998
Optic nerve dysplasia	Increased insulin like growth factor binding protein acid labile subunit concentration	4.475678658742209e-05	0.14540143
Propionyl-CoA carboxylase deficiency	Decreased activity of mitochondrial complex II	0.165126737341279	0.26391566
Mild postnatal growth retardation	Abnormal putamen morphology	4.433252921306609e-05	0.2545622
Male hypogonadism	Anasarca	5.232854831112207e-05	0.069575235
Horseshoe kidney	Abetalipoproteinemia	5.18262354732069e-05	0.14573905
Progressive cataract	Cerebral cortical hemiatrophy	9.435605386316376e-05	0.3513119
Protracted diarrhea	Abnormal liver function tests during pregnancy	4.433252921306609e-05	0.21821068
Persistence of primary teeth	Endocardial fibrosis	5.4134178713156775e-05	0.056912318
Fatal liver failure in infancy	Increased level of gamma-aminobutyric acid in urine	3.993272169545075e-05	0.14595722
Increased proportion of HLA DR+ T cells	Malignant genitourinary tract tumor	4.1527089114850486e-05	0.20848174
Humerus varus	Skeletal muscle steatosis	0.0	0.12675871
Hyperphosphaturia	Convergence excess esotropia	4.697961363490384e-05	0.18935236
Six lumbar vertebrae	Prolactinoma	4.325406564155514e-05	0.120863825
Buphthalmos	Long nose	6.052315430826791e-05	0.16332743
Ambiguous genitalia, female	Hypertrophic auricular cartilage	4.475678658742209e-05	0.22002754
Ulnar bowing	Clusters of axonal regeneration	4.787715215794353e-05	0.12251857
Cervical C5/C6 vertebrae fusion	Moderate postnatal growth retardation	4.2520165072717376e-05	0.08654848
Ganglioneuroblastoma	Microcoria	4.697961363490384e-05	-0.01619203
Chorioretinal dystrophy	Decreased circulating total IgM	5.694530901968731e-05	0.19015685
Hypermagnesemia	Anterior pituitary agenesis	4.513091349926087e-05	0.21339789
Ambiguous genitalia, female	Absent humerus	0.0001018130834672	0.24808231
Visual hallucinations	Numerous pigmented freckles	4.754448578692532e-05	0.14102516
Malnutrition	Impaired renal ltubular reabsorption of chloride	4.654557084673223e-05	0.2246588
Restricted large joint movement	Recurrent tonsillitis	4.384100649655963e-05	0.050109312
Microcornea	Renal artery atherosclerosis	0.0001526493127735	0.1502395
Hypocholesterolemia	Osteochondritis dissecans	5.3526348262195045e-05	0.30959183
Renal steatosis	Equinovarus deformity	4.717802693158189e-05	0.13321342
Progressive microcephaly	Bird-like facies	0.1338294588879836	0.08978194
Hyperprolinemia	Diaphragmatic eventration	5.605677800716349e-05	0.13700789
Increased circulating prolactin concentration	Elevated circulating C-reactive protein concentration	5.730125608793351e-05	0.4436897
Cerebral arteriovenous malformation	Rheumatoid factor positive	5.125821869171633e-05	0.15397248
Cervical kyphosis	Congenital craniofacial dysostosis	0.301664873947166	0.54947186
Tortuous cerebral arteries	Unilateral lung agenesis	4.325406564155514e-05	0.09339451
Trichiasis	Monocytosis	4.846394887683536e-05	0.20829903
Polyhydramnios	Increased red cell osmotic fragility	6.746502925152176e-05	0.3740478
Fusion of the cerebellar hemispheres	Dental enamel pits	4.384100649655963e-05	0.082590364
Generalized muscle weakness	Decreased CSF homovanillic acid concentration	5.575766213599954e-05	0.11355919
Coronal hypospadias	Verrucous papule	4.1527089114850486e-05	0.22224227
Restrictive cardiomyopathy	Pyloric stenosis	6.0368226670505366e-05	0.369246
Periventricular leukomalacia	Elevated hepatic iron concentration	5.398937804600152e-05	0.26081315
Unconjugated hyperbilirubinemia	Low levels of vitamin D	0.1862425750966244	0.17108306
Episodic hypertension	Basal ganglia cysts	4.63062709617351e-05	0.24551311
Intrahepatic cholestasis with episodic jaundice	Hypoglycorrhachia	4.433252921306609e-05	0.35138968
Multiple epiphyseal dysplasia	Equinus calcaneus	0.1042211625304338	0.33998695
Sagittal craniosynostosis	Osteoarthritis of the first carpometacarpal joint	0.1073694075185937	0.19851504
Laryngeal stridor	Facial tics	4.433252921306609e-05	0.34655297
Partial agenesis of the corpus callosum	Late-onset distal muscle weakness	5.434348495495776e-05	0.19888833
Increased megakaryocyte count	Inappropriate crying	4.513091349926087e-05	0.08094236
Bifid nasal tip	Solitary median maxillary central incisor	0.1568897595815545	0.26988274
Genu recurvatum	Increased circulating corticosterone level	4.832568870785544e-05	0.062415525
Proximal tibial hypoplasia	Abetalipoproteinemia	3.993272169545075e-05	0.38007283
Small earlobe	HbS hemoglobin	0.0001163987584792	0.19988853
Juvenile rheumatoid arthritis	Esophageal carcinoma	4.546614712111239e-05	0.14241776
Rheumatoid factor positive	Limited hip extension	5.060226372522096e-05	0.18894958
Hypoplastic cervical vertebrae	Onychomycosis	5.052257145344946e-05	0.09809558
Mitochondrial malic enzyme reduced	Lumbosacral meningocele	4.513091349926087e-05	0.14976315
Progressive intervertebral space narrowing	Small intestine carcinoid	7.98654433909015e-05	0.3450502
Diffuse mesangial sclerosis	Absence of alpha granules	4.771461865001634e-05	0.24209921
Persistent bleeding after trauma	Biceps aplasia	4.6048912897620735e-05	0.13170323
Shoulder girdle muscle atrophy	Onychomycosis	5.4736734480720864e-05	0.11934937
Thin upper lip vermilion	Microangiopathic hemolytic anemia	6.904890519168298e-05	0.106661476
Impaired lymphocyte transformation with phytohemagglutinin	Recurrent loss of toenails and fingernails	4.6048912897620735e-05	0.14708516
Hypoplasia of the pyramidal tract	Reduced natural killer cell count	4.7365940235228194e-05	0.27625194
Recurrent Serratia marcescens infections	Sertoli cell-only phenotype	4.513091349926087e-05	0.18124741
Hypoplasia of the frontal bone	Cone dystrophy	4.577027209409902e-05	0.26662186
Acute promyelocytic leukemia	Rickets of the lower limbs	3.993272169545075e-05	0.23732576
Constrictive pericarditis	Long proximal phalanx of finger	4.1527089114850486e-05	0.22991845
Difficulty in tongue movements	Prolonged partial thromboplastin time	5.292067144038485e-05	0.09148235
Short lower limbs	Echogenic fetal bowel	4.982193529809304e-05	0.13827905
Median cleft lip	Pulmonary capillary hemangiomatosis	5.125821869171633e-05	0.19063303
Hand clenching	Type D brachydactyly	0.1573676433709979	0.20019037
Plethora	Coronary sinus enlargement	4.433252921306609e-05	0.22501493
Zollinger-Ellison syndrome	Erythroid hypoplasia	4.754448578692532e-05	0.38628656
Intimal thickening in the coronary arteries	Platelet anisocytosis	4.2520165072717376e-05	0.29403484
EMG: myopathic abnormalities	Hypoautofluorescent macular lesion	5.060226372522096e-05	0.2708438
Elevated urinary delta-aminolevulinic acid	Crescentic glomerulonephritis	0.2947004505956655	0.06022389
Limited mobility of proximal interphalangeal joint	Increased female libido	7.98654433909015e-05	0.033736184
Intermittent jaundice	Hypoglycosylation of alpha-dystroglycan	4.7877152157943535e-05	0.14980634
Restrictive cardiomyopathy	Narrow maxilla	4.952414116553883e-05	0.1518111
Hypersplenism	Hypertrophied muscle fibers	4.5130913499260864e-05	0.37312758
Macular hypoplasia	Hypoplastic nasal tip	4.818212141725109e-05	0.4013721
Uterine prolapse	Pericardial constriction	4.325406564155514e-05	0.49162382
Testicular dysgenesis	Dermal sinus tract	4.2520165072717376e-05	0.30432886
Multiple small vertebral fractures	Ovotestis	4.577027209409902e-05	0.031772926
Bilateral microphthalmos	Optic nerve compression	0.1663646166339565	0.3845599
Keratoglobus	Thyroid nodule	4.2520165072717376e-05	0.027154492
Duplicated collecting system	Unilateral ptosis	5.716561570063484e-05	0.016071394
Bicornuate uterus	Pituitary growth hormone cell adenoma	4.908842810983609e-05	0.12012234
Conjunctival telangiectasia	Dysmyelinating leukodystrophy	4.818212141725109e-05	0.28422242
Sclerocornea	Deformed radius	4.803278487698834e-05	0.15346868
Cavum septum pellucidum	Bilateral camptodactyly	5.125821869171633e-05	0.13144466
Pulmonary lymphangiectasia	Upper limb dysmetria	4.433252921306609e-05	0.19288567
Decreased activity of mitochondrial complex II	Lower eyelid retraction	4.6048912897620735e-05	0.2679433
Polyphagia	Increased CSF protein concentration	0.2009412606655709	-0.0075385524
Elbow ankylosis	Granulocytic hyperplasia	4.325406564155514e-05	0.22468726
2-3 toe syndactyly	Generalized bone demineralization	0.125998439164331	0.26315165
Autoimmune thrombocytopenia	Synovial hypertrophy	4.908842810983609e-05	0.28137505
Intrinsic hand muscle atrophy	Superficial dermal perivascular inflammatory infiltrate	4.63062709617351e-05	0.29310635
Sloping forehead	Female infertility	6.912371314192742e-05	-0.047610976
Keratoconus	Bronchiolitis obliterans organizing pneumonia	5.097926599079281e-05	0.1761607
Generalized hypertrichosis	Central core regions in muscle fibers	4.433252921306609e-05	0.20441613
Congenital adrenal hyperplasia	Hypoplasia of the prostate	4.2520165072717376e-05	0.514692
Severe failure to thrive	Large foramen magnum	4.859730955435237e-05	0.1429648
Retinal arteriolar occlusion	Aplasia of the bladder	4.2520165072717376e-05	0.14785635
Increased cellular sensitivity to UV light	Nevus spilus	4.433252921306609e-05	0.28313243
Lattice corneal dystrophy	Reduced FEV1/FVC ratio	4.577027209409902e-05	0.20668572
Recurrent E. coli infections	Progressive hyperpigmentation	4.325406564155514e-05	0.13895361
Male infertility	Pseudoaneurysm	0.0001552114451366	0.10279019
Short columella	Recurrent Burkholderia cepacia infections	5.360675626316975e-05	0.03674548
Hypoplasia of the primary teeth	Narrow palpebral fissure	0.1449263810654334	0.46001807
Motor deterioration	Vertebral artery aneurysm	4.433252921306609e-05	0.24287407
Protracted diarrhea	Reduced circulating interferon gamma concentration	9.093229424222476e-05	0.12617898
Mild conductive hearing impairment	Hypoplastic pelvis	0.0001185272603556	0.15367036
Global glomerulosclerosis	Short iliac bones	4.63062709617351e-05	0.08493394
Hypermagnesemia	Limited elbow extension and supination	4.513091349926087e-05	0.13101089
Talipes calcaneovarus	Adrenocorticotropin receptor defect	3.993272169545075e-05	0.168103
Generalized aminoaciduria	Uterine rupture	0.1584669070588896	0.13170235
Premature coronary artery atherosclerosis	Uterine rupture	4.546614712111239e-05	0.3098755
Visual hallucinations	Mitochondrial swelling	4.433252921306609e-05	0.1931799
Premature atrial contractions	Elevated brain N-acetyl aspartate level by MRS	4.754448578692532e-05	0.11555938
Hyperoxaluria	Pulmonary lymphangiectasia	4.9202003447767416e-05	0.3269737
Basal ganglia cysts	Positive carpal Tinel sign	0.0678227253917156	0.087893516
Multiple prenatal fractures	Macular hypopigmentation	4.8726132196001617e-05	0.14494056
Weak voice	Ridged fingernail	4.6048912897620735e-05	0.093908384
Thoracic dysplasia	Increased circulating insulin-like growth factor 1 concentration	4.885073886735671e-05	0.107748926
Polymorphous posterior corneal dystrophy	Increased endomysial connective tissue	4.676934355271362e-05	0.22598457
Posterior embryotoxon	Budd-Chiari syndrome	5.035839919835104e-05	0.077089086
Personality changes	Elevated urinary norepinephrine	5.376354883792309e-05	0.1157333
Hypoplasia of the odontoid process	Prolonged whole-blood clotting time	5.58087429377006e-05	0.11195654
Ulnar deviation of the wrist	Synostosis of carpal bones	0.5625791589521398	0.41275743
Poor gross motor coordination	Decreased serum zinc	4.433252921306609e-05	0.21865411
Hemimegalencephaly	Elevated carcinoembryonic antigen level	0.0001055595431553	0.21505696
Biliary cirrhosis	Mixed astigmatism	4.6048912897620735e-05	0.12657097
Hepatoblastoma	Congenital exfoliative erythroderma	4.433252921306609e-05	0.18847924
Anemic pallor	White forelock	0.1672719560220223	0.04023977
Pleuritis	Congenital conductive hearing impairment	4.676934355271362e-05	0.17651683
Increased CSF protein concentration	Parathyroid carcinoma	9.093229424222476e-05	0.22564495
Sinus bradycardia	Interhemispheric cyst	5.4544084512378e-05	0.052826803
C2-C3 subluxation	Erythromelalgia	3.993272169545075e-05	0.08592616
Recurrent cerebral hemorrhage	Alveolar rhabdomyosarcoma	3.993272169545075e-05	0.14323334
Hypoalbuminemia	Narrow joint spaces of the elbow	0.0001441428619437	0.22489181
Lateral displacement of patellae	Reticular pattern on pulmonary HRCT	4.2520165072717376e-05	0.10638626
Mastoiditis	Hand tremor	5.3801943908288434e-05	0.1292558
Long penis	Deficiency or absence of cytochrome b(-245)	4.717802693158188e-05	0.04356679
Limited interphalangeal movement	Submucous cleft lip	4.1527089114850486e-05	0.14433558
Severely reduced visual acuity	Adducted thumb	6.341151529786745e-05	0.00367333
Tegumentary leishmaniasis susceptibility	Absent hallux	4.2520165072717376e-05	0.07083018
Humeral pseudarthrosis	Unilateral renal dysplasia	8.650813128311028e-05	0.2987823
Hypoplasia of the uterus	Microcolon	5.768896968566708e-05	0.1759773
Hypodontia	Abnormal alpha granule content	5.323344804675296e-05	0.04361727
Gastrointestinal angiodysplasia	Scleritis	4.2520165072717376e-05	0.19819945
Diffuse leukoencephalopathy	Absent circulating B cells	4.7877152157943535e-05	0.21833387
Granulovacuolar degeneration	Knee flexion contracture	5.532938464517967e-05	0.049187865
Increased urinary potassium	Decreased muscle mass	5.512990542636853e-05	0.024297744
Lower thoracic kyphosis	Lower cranial nerve dysfunction	7.98654433909015e-05	0.483945
Protein-losing enteropathy	Short nasal bridge	4.94196762868381e-05	0.044911806
Broad philtrum	Basilar impression	0.1210445302603942	0.120599076
Sparse body hair	Pericardial constriction	4.803278487698834e-05	0.03835807
Pulmonic valve myxoma	Abnormal diffusion weighted cerebral MRI morphology	3.993272169545075e-05	0.2431415
Pelvic bone exostoses	Elevated urinary norepinephrine	4.63062709617351e-05	0.29796493
Single umbilical artery	Periarticular soft-tissue mass	4.9312355433677e-05	0.1758614
Tongue fasciculations	Retinal hole	5.6607690444732815e-05	0.0010649143
Aspiration	Obstructive sleep apnea	0.384961375446963	0.26507634
Posterior vitreous detachment	Accelerated bone age after puberty	4.433252921306609e-05	0.11296111
Vesicovaginal fistula	Lateral displacement of the femoral head	4.325406564155514e-05	0.19114763
Osteopenia	Focal active colitis	5.560127284614295e-05	0.16037105
Laryngomalacia	Bronchiectasis	0.4622224189820801	0.3589369
Decreased CSF homovanillic acid concentration	Dilation of Virchow-Robin spaces	0.1606949290674911	0.28115016
Large hands	Hepatocellular carcinoma	6.135021212719786e-05	0.021530822
Multiple gastric polyps	Increased size of the mandible	4.63062709617351e-05	0.14786427
Congenital nephrotic syndrome	Subcutaneous ossification	3.993272169545075e-05	0.32538542
Lack of insight	Wide pubic symphysis	4.63062709617351e-05	0.008329514
Thenar muscle weakness	Increased circulating IgG3 level	4.384100649655963e-05	-0.0147791365
Generalized arterial tortuosity	Palilalia	4.433252921306609e-05	0.13926488
Corpus callosum atrophy	Laryngeal hypoplasia	5.53849488235464e-05	0.25420025
Right ventricular failure	Anorexia	4.818212141725109e-05	0.16252539
Microvesicular hepatic steatosis	Aspirin-induced asthma	4.754448578692532e-05	0.1582671
Cardiomegaly	Visual hallucinations	5.933071786796138e-05	0.20364115
Prominent antihelix	Cochlear aplasia	0.2537555288367515	0.120438054
Hurthle cell thyroid adenoma	Immotile cilia	4.63062709617351e-05	0.17722969
Hepatocellular carcinoma	Decreased serum creatinine	5.292067144038486e-05	0.18069692
Extrapyramidal dyskinesia	Early spermatogenesis maturation arrest	4.63062709617351e-05	0.18659079
Severe hydrocephalus	Fragile teeth	3.993272169545075e-05	0.15214697
Omphalocele	Hip osteoarthritis	0.0947026786674646	0.29104838
Anorexia	Xanthinuria	5.052257145344946e-05	0.298882
Peroneal muscle atrophy	Thin eyebrow	5.292067144038485e-05	0.13850313
Compensated hypothyroidism	Reduced aldolase level	9.435605386316376e-05	0.2835468
Internal ophthalmoplegia	Cervical spondylosis	3.993272169545075e-05	0.19217095
Hypocholesterolemia	Myoclonic absence seizure	5.222176751133227e-05	0.049923643
Impaired lymphocyte transformation with phytohemagglutinin	Congenital Horner syndrome	4.818212141725109e-05	0.2253358
Absent specific antibody response	Cartilage destruction	8.650813128311028e-05	0.17906964
Unconjugated hyperbilirubinemia	Cold-induced sweating	4.63062709617351e-05	0.083262995
Decreased serum complement factor B	Cutaneous mastocytosis	0.2015209210787252	0.21330614
Personality changes	Hyperactive renin-angiotensin system	5.543990558251901e-05	0.19606805
Ocular hypertension	Unilateral lung agenesis	4.771461865001634e-05	0.15370642
Congenital agranulocytosis	Flank pain	4.1527089114850486e-05	0.16681312
Arachnodactyly	Cerebellar medulloblastoma	5.296668428055062e-05	0.09650463
Corneal scarring	Necrotizing myopathy	0.068059823860282	0.26179773
Paroxysmal dystonia	Loss of speech	0.1024456790555692	0.19977951
Central scotoma	Meconium stained amniotic fluid	4.885073886735671e-05	0.17626847
Sudden episodic apnea	Overlapping fingers	5.151997576365433e-05	0.1108058
Increased circulating prolactin concentration	Episodic quadriplegia	0.0733347096389262	0.14865834
Heparan sulfate excretion in urine	Chronic irritative conjunctivitis	4.546614712111239e-05	0.12515996
Nasal mucosa telangiectasia	Prolonged prothrombin time	5.232854831112207e-05	0.18383926
Pancreatic hypoplasia	Limited hip extension	5.0979265990792815e-05	0.22478445
Absence of Stensen duct	White eyebrow	0.1320738734448867	0.12178689
Bifid ribs	Prolonged QTc interval	5.327644182247792e-05	0.19453198
Thrombocytosis	Severe influenza infection	5.097926599079281e-05	0.11389114
Shoulder girdle muscle atrophy	Recurrent ear infections	5.164509580017892e-05	-0.0033606035
Short philtrum	Antegonial notching of mandible	0.1339873515203027	0.1036045
Neck joint contracture	Bursitis	0.0987909468366289	0.28118396
Intellectual disability, borderline	Fibular bowing	5.434348495495777e-05	0.15814695
Delayed eruption of permanent teeth	Oxygen desaturation on exertion	4.697961363490384e-05	0.19577272
Perineal hypospadias	Enlargement of parotid gland	4.63062709617351e-05	0.13214898
Protruding ear	Abdominal cramps	5.4239971789166777e-05	0.11815198
Intention tremor	Reticulated skin pigmentation	5.8051117890037634e-05	0.20452392
Limb-girdle muscular dystrophy	Primum atrial septal defect	5.018735786356822e-05	0.12744841
Renal hypophosphatemia	Elevated jugular venous pressure	4.1527089114850486e-05	0.14900568
Chordee	Chronotropic incompetence	4.697961363490384e-05	0.15261784
Hyperphenylalaninemia	Progressive inspiratory stridor	4.384100649655963e-05	0.15721306
Hypoplastic left atrium	Ridged fingernail	4.1527089114850486e-05	0.10921555
Central hypoventilation	Angle closure glaucoma	4.717802693158188e-05	0.2754217
Facial grimacing	Acute myelomonocytic leukemia	4.475678658742209e-05	0.1416405
Hypodontia	Impaired thrombin-induced platelet aggregation	5.323344804675296e-05	0.12562318
Lumbar kyphoscoliosis	Corneal neovascularization	4.717802693158188e-05	0.13537854
Sensorimotor neuropathy	Epiretinal membrane	5.4239971789166777e-05	0.15764363
Chordee	Gastric diverticulum	0.0001140931428862	-0.009301882
Exertional dyspnea	Ph-positive acute lymphoblastic leukemia	4.717802693158188e-05	0.19102177
Hypoplastic nasal tip	Coronary sinus enlargement	4.433252921306609e-05	0.22279803
Sclerotic vertebral endplates	Woolly scalp hair	9.435605386316376e-05	0.045663703
Acrocyanosis	Submucous cleft lip	4.5130913499260864e-05	0.2552881
No social interaction	Livedo reticularis	4.63062709617351e-05	0.04210642
Hypouricemia	Hypnopompic hallucinations	4.63062709617351e-05	0.25314224
Migraine with aura	Corneal pterygium	4.676934355271362e-05	0.14022134
Methylmalonic acidemia	Congenital craniofacial dysostosis	0.0001072135125263	0.20717129
Antegonial notching of mandible	Hypoplasia of the anterior nasal spine	0.5259849015257317	0.4629459
Multiple mitochondrial DNA deletions	Prolonged QRS complex	5.344453059754979e-05	0.22714826
Cystic renal dysplasia	Symmetrical progressive peripheral demyelination	4.577027209409902e-05	0.256995
Episodic abdominal pain	Aortic atherosclerotic lesion	9.964387059618608e-05	0.29492682
Absent nasal bridge	Reduced aldolase level	9.093229424222476e-05	0.18765612
Hyperkalemia	Hip contracture	6.488126393986284e-05	0.33231077
Hematochezia	Optic nerve aplasia	5.125821869171633e-05	0.24037725
Bladder exstrophy	Increased circulating ferritin concentration	5.730125608793351e-05	0.16058138
Valgus hand deformity	Endocardial fibrosis	4.433252921306609e-05	0.1500171
Asymptomatic hyperammonemia	Recurrent cystitis	7.98654433909015e-05	0.15686576
Polysplenia	Congenital hepatic fibrosis	0.3283837403874544	0.3134261
Long-tract signs	Increased serum estradiol	9.435605386316376e-05	0.19822836
Palmoplantar hyperhidrosis	Adrenal gland agenesis	4.818212141725109e-05	0.1657846
Renal artery stenosis	Unicornuate uterus	0.1715925710477731	0.11078821
Congenital adrenal hyperplasia	Infantile sensorineural hearing impairment	9.093229424222476e-05	0.26355067
Recurrent Serratia marcescens infections	Laryngeal hypoplasia	4.897141782007609e-05	0.069806494
Apneic episodes in infancy	Ovarian thecoma	4.5130913499260864e-05	0.06717199
Glycosuria	Laryngotracheal stenosis	5.097926599079281e-05	0.22146478
Hepatoblastoma	Increased level of L-glutamic acid in blood	4.433252921306609e-05	0.20275551
